,fecha,Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,,,,DATO REAL,PRONOSTICADO A 252,DIFERENCIA,PRONOSTICADO A 230,Diferencia
2020.885,19/11/2020,4.053498383,2.503058004,5.603938763,1.682304445,6.424692322,,,,,,,,,
2020.889,21/11/2020,4.025505789,2.470915825,5.580095753,1.647965609,6.403045969,,,,,,,,,
2020.893,22/11/2020,3.950414191,2.391683811,5.50914457,1.566541791,6.33428659,,,,,,,,,
2020.897,24/11/2020,4.007638773,2.444777073,5.570500474,1.617448064,6.397829483,,,,,,,,,
2020.901,25/11/2020,4.080675656,2.513691657,5.647659656,1.684180434,6.477170878,,,,,,,,,
2020.905,27/11/2020,4.001728619,2.430631271,5.572825967,1.598942573,6.404514665,,,,,,,,,
2020.909,28/11/2020,4.081290525,2.506088707,5.656492343,1.672227234,6.490353815,,,,,,,,,
2020.913,30/11/2020,4.102623059,2.523325581,5.681920537,1.687295997,6.517950122,,,,,,,,,
2020.917,01/12/2020,4.04022432,2.456839922,5.623608719,1.618646852,6.461801788,,,,,,,,,
2020.921,03/12/2020,4.015893074,2.428430427,5.603355721,1.588078463,6.443707685,,,,,,,,,
2020.925,04/12/2020,4.051626603,2.460094311,5.643158895,1.617588008,6.485665199,,,,,,,,,
2020.929,06/12/2020,4.07610369,2.48051029,5.671697089,1.635854167,6.516353212,,,,,,,,,
2020.933,07/12/2020,4.032794387,2.433148352,5.632440422,1.586346893,6.479241881,,,,,,,,,
2020.937,08/12/2020,4.052588366,2.448898102,5.65627863,1.599955757,6.505220975,,,,,,,,,
2020.94,10/12/2020,4.066956766,2.459230615,5.674682916,1.6081518,6.525761731,,,,,,,,,
2020.944,11/12/2020,4.039458725,2.427704966,5.651212484,1.574494065,6.504423386,,,,,,,,,
2020.948,12/12/2020,4.020043894,2.404270743,5.635817045,1.548932104,6.491155684,,,,,,,,,
2020.952,14/12/2020,4.06706846,2.447284071,5.686852849,1.589822011,6.544314909,,,,,,,,,
2020.956,15/12/2020,3.982376477,2.358588942,5.606164011,1.499007745,6.465745209,,,,,,,,,
2020.96,17/12/2020,3.936857756,2.309075109,5.564640404,1.447379026,6.426336486,,,,,,,,,
2020.964,18/12/2020,3.964558578,2.33278879,5.596328366,1.468982043,6.460135113,,,,,,,,,
2020.968,20/12/2020,3.90622341,2.270474394,5.541972425,1.404561171,6.407885648,,,,,,,,,
2020.972,21/12/2020,3.947320512,2.307600124,5.5870409,1.439584583,6.45505644,,,,,,,,,
2020.976,23/12/2020,3.944794278,2.301110314,5.588478241,1.430996584,6.458591972,,,,,,,,,
2020.98,24/12/2020,3.914966404,2.267326605,5.562606202,1.395118782,6.434814026,,,,,,,,,
2020.984,26/12/2020,3.951952538,2.300364587,5.603540488,1.426066739,6.477838337,,,,,,,,,
2020.988,27/12/2020,3.928700714,2.273172239,5.584229188,1.396788403,6.460613024,,,,,,,,,
2020.992,29/12/2020,3.91490382,2.255442394,5.574365246,1.37697658,6.45283106,,,,,,,,,
2020.996,30/12/2020,3.901747847,2.238360988,5.565134706,1.357817175,6.445678519,,,,,,,,,
2021,01/01/2021,3.957520012,2.290215185,5.62482484,1.407597324,6.5074427,,,,,,,,,
2021.004,02/01/2021,4.008726589,2.337511203,5.679941974,1.452823218,6.564629959,,,,,,,,,
2021.008,03/01/2021,3.994056537,2.318937952,5.669175122,1.432183738,6.555929337,,,,,,,,,
2021.012,05/01/2021,3.977384511,2.298370033,5.65639899,1.409553457,6.545215565,,,,,,,,,
2021.016,06/01/2021,3.964979556,2.282076438,5.647882673,1.391201341,6.53875777,,,,,,,,,
2021.02,08/01/2021,3.929403285,2.242618732,5.616187838,1.349688927,6.509117642,,,,,,,,,
2021.024,09/01/2021,3.957856395,2.26719756,5.64851523,1.372216835,6.543495956,,,,,,,,,
2021.028,11/01/2021,3.947690155,2.253164141,5.642216169,1.356136254,6.539244055,,,,,,,,,
2021.032,12/01/2021,3.999657518,2.301271379,5.698043657,1.402200066,6.59711497,,,,,,,,,
2021.036,14/01/2021,4.003340167,2.301100908,5.705579425,1.399989877,6.606690457,,,,,,,,,
2021.04,15/01/2021,3.94576377,2.239678349,5.651849192,1.336531282,6.554996259,,,,,,,,,
2021.044,17/01/2021,3.919533387,2.209608712,5.629458062,1.304429267,6.534637507,,,,,,,,,
2021.048,18/01/2021,3.907873281,2.194116214,5.621630347,1.286908024,6.528838537,,,,,,,,,
2021.052,19/01/2021,3.959612275,2.242029633,5.677194917,1.332796304,6.586428246,,,,,,,,,
2021.056,21/01/2021,3.954654239,2.233252789,5.676055688,1.321997906,6.587310571,,,,,,,,,
2021.06,22/01/2021,3.999128117,2.273914584,5.724341651,1.360641706,6.637614529,,,,,,,,,
2021.063,23/01/2021,4.017857621,2.288838681,5.74687656,1.373551343,6.662163898,,,,,,,,,
2021.067,25/01/2021,3.991393917,2.258576206,5.724211629,1.341277919,6.641509916,,,,,,,,,
2021.071,26/01/2021,4.05548285,2.318872955,5.792092745,1.399567207,6.711398492,,,,,,,,,
2021.075,28/01/2021,4.140704509,2.400308975,5.881100042,1.478999232,6.802409785,,,,,,,,,
2021.079,29/01/2021,4.142276665,2.398101995,5.886451335,1.474791697,6.809761632,,,,,,,,,
2021.083,31/01/2021,4.111607581,2.363660233,5.859554929,1.4383528,6.784862361,,,,,,,,,
2021.087,01/02/2021,4.115925723,2.364212114,5.867639333,1.436910943,6.794940503,,,,,,,,,
2021.091,03/02/2021,4.153842852,2.398369356,5.909316349,1.469077821,6.838607884,,,,,,,,,
2021.095,04/02/2021,4.166364382,2.407137331,5.925591434,1.475858784,6.856869981,,,,,,,,,
2021.099,06/02/2021,4.156162145,2.393187829,5.91913646,1.459925601,6.852398688,,,,,,,,,
2021.103,07/02/2021,4.109549722,2.342834394,5.87626505,1.407591793,6.811507651,,,,,,,,,
2021.107,09/02/2021,4.176228973,2.405778843,5.946679104,1.468559156,6.883898791,,,,,,,,,
2021.111,10/02/2021,4.199982346,2.425803582,5.974161109,1.486610077,6.913354614,,,,,,,,,
