"","fecha","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2021.148","2021-02-24",4.16539400419093,2.88200744508049,5.44878056330136,2.20262363916835,6.12816436921351
"2021.152","2021-02-25",4.17246632513426,2.8838484412554,5.46108420901312,2.20169533929141,6.14323731097711
"2021.157","2021-02-27",4.11493463574781,2.8211042025488,5.40876506894681,2.13619174365491,6.0936775278407
"2021.161","2021-02-28",4.12095504035405,2.82193060618291,5.41997947452519,2.13426860926144,6.10764147144666
"2021.165","2021-03-02",4.12660097312373,2.82240086364333,5.43080108260413,2.1319990297142,6.12120291653326
"2021.170","2021-03-04",4.10620781487477,2.796850137359,5.41556549239053,2.10371805183402,6.10869757791551
"2021.174","2021-03-05",4.08289821346276,2.76840086097792,5.3973955659476,2.07254799587421,6.09324843105131
"2021.178","2021-03-06",4.06341884490031,2.74379950037546,5.38303818942516,2.04523521647022,6.0816024733304
"2021.183","2021-03-08",4.02413231964693,2.69940845983713,5.34885617945673,1.99814200876565,6.05012263052821
"2021.187","2021-03-10",3.97994004529143,2.65012894463739,5.30975114594546,1.9461694709362,6.01371061964665
"2021.191","2021-03-11",4.00431097513087,2.66942970951844,5.33919224074329,1.96278625261548,6.04583569764625
"2021.196","2021-03-13",4.06683182911444,2.72689727953733,5.40676637869156,2.01757877569086,6.11608488253803
"2021.200","2021-03-15",4.10658619210988,2.76161504823863,5.45155733598113,2.04963033242656,6.16354205179319
"2021.204","2021-03-16",4.09734223615549,2.74735099981599,5.44733347249499,2.03270880757728,6.1619756647337
"2021.209","2021-03-18",4.03724058359063,2.68224557215488,5.39223559502637,1.9649545413845,6.10952662579675
"2021.213","2021-03-19",4.05387529963639,2.69389264932849,5.41385794994428,1.97396132202748,6.1337892772453
"2021.217","2021-03-21",4.03212134895077,2.66716701807072,5.39707567983083,1.94460384205278,6.11963885584876
"2021.222","2021-03-23",4.02546598771624,2.65555575978419,5.39537621564828,1.93036909034022,6.12056288509225
"2021.226","2021-03-24",4.09793255165955,2.72308203848313,5.47278306483597,1.99528014000487,6.20058496331423
"2021.230","2021-03-25",4.04009086052334,2.66031550519026,5.41986621585642,1.92990655275451,6.15027516829217
"2021.235","2021-03-27",4.03565561543313,2.65097069523149,5.42034053563476,1.91796277614607,6.15334845472018
"2021.239","2021-03-29",3.99989435557669,2.61031498484528,5.38947372630809,1.87471610015783,6.12507261099555
"2021.243","2021-03-30",3.96578571914315,2.57132685205373,5.36024458623258,1.83314491802459,6.09842652026172
"2021.248","2021-04-01",3.97304695226045,2.57372338553419,5.3723705189867,1.8329662350744,6.1131276694465
"2021.252","2021-04-02",3.97431009614662,2.5701364717067,5.37848372058654,1.82681185578219,6.12180833651105
"2021.257","2021-04-04",3.98401975200486,2.57501055956704,5.39302894444268,1.82912614857,6.13891335543972
"2021.261","2021-04-06",3.98920859344196,2.57537817304509,5.40303901383883,1.82694155813354,6.15147562875038
"2021.265","2021-04-07",3.95435968742618,2.53572223190434,5.37299714294803,1.7847409263108,6.12397844854157
"2021.270","2021-04-09",3.96151086564257,2.53808042304058,5.38494130824456,1.78456186335078,6.13845986793437
"2021.274","2021-04-11",4.03249160641904,2.60428208235305,5.46070113048503,1.84823362975551,6.21674958308258
"2021.278","2021-04-12",4.0769349567584,2.64396011672307,5.50990979679374,1.88538905823048,6.26848085528632
"2021.283","2021-04-14",4.11207648868699,2.67434996031082,5.54980301706316,1.91326350995396,6.31088946742002
"2021.287","2021-04-15",4.11842318870993,2.67595846396031,5.56088791345955,1.91236376395528,6.32448261346457
"2021.291","2021-04-17",4.13903234078522,2.69184277812451,5.58622190344593,1.92574690001413,6.35231778155631
"2021.296","2021-04-19",4.12486323702253,2.67296206351664,5.57676441052843,1.90437200928663,6.34535446475844
"2021.300","2021-04-20",4.13088118993729,2.67428150331803,5.58748087655655,1.90320420648881,6.35855817338577
"2021.304","2021-04-21",4.12004315943878,2.65875793012139,5.58132838875616,1.88520025681603,6.35488606206153
"2021.309","2021-04-23",4.03347810094222,2.56752017399918,5.49943602788527,1.79148892398829,6.27546727789616
"2021.313","2021-04-25",4.05327534678639,2.58265744387878,5.523893249694,1.80415935160296,6.30239134196983
"2021.317","2021-04-26",4.04393590301075,2.56867062427838,5.51920118174311,1.78771235984872,6.30015944617278
"2021.322","2021-04-28",4.02245557243587,2.54255539834723,5.50235574652452,1.75914356852466,6.28576757634709
"2021.326","2021-04-29",4.08436593660628,2.59984322976937,5.56888864344318,1.81398437892327,6.35474749428928
"2021.330","2021-05-01",4.09721274640483,2.60807975334011,5.58634573946955,1.81978036438679,6.37464512842286
"2021.335","2021-05-03",4.11836709381168,2.62463594668786,5.6120982409355,1.8339024420095,6.40283174561386
"2021.339","2021-05-04",4.11848266252372,2.62016538085766,5.61679994418978,1.82700412320213,6.40996120184531
"2021.343","2021-05-06",4.24266156389639,2.73977005621789,5.74555307157489,1.94418734958009,6.5411357782127
"2021.348","2021-05-08",4.25193520236388,2.74448126784636,5.75938913688139,1.94648335833138,6.55738704639638
"2021.352","2021-05-09",4.24540190123439,2.73339723129232,5.75740657117646,1.93299030796114,6.55781349450765
"2021.357","2021-05-11",4.19556835802813,2.67902453788207,5.71211217817418,1.87621473357998,6.51492198247627
"2021.361","2021-05-12",4.15547048135735,2.63439899156748,5.67654197114721,1.82919238373595,6.48174857897875
"2021.365","2021-05-14",4.23025629960109,2.70466851757001,5.75584408163217,1.89707112904214,6.56344147016004
"2021.370","2021-05-16",4.29785958592985,2.76776678737539,5.82795238448431,1.95778458715566,6.63793458470404
"2021.374","2021-05-17",4.2845010789581,2.74991443935704,5.81908771855916,1.93755334338549,6.6314488145307
"2021.378","2021-05-18",4.2800639542315,2.74099455023477,5.81913335822823,1.92626042213622,6.63386748632678
"2021.383","2021-05-20",4.31135170979762,2.76781052061781,5.85489289897742,1.95070917243632,6.67199424715891
"2021.387","2021-05-22",4.32323806033486,2.77523596910671,5.87124015156301,1.9557731620258,6.69070295864392
"2021.391","2021-05-23",4.263006263276,2.71055405839048,5.81545846816152,1.88873550343936,6.63727702311264
"2021.396","2021-05-25",4.24619603579712,2.68930441220987,5.80308765938438,1.86513577095606,6.62725630063819
"2021.400","2021-05-27",4.23614888582797,2.6748284463426,5.79746932531334,1.84831533157129,6.62398244008465
"2021.404","2021-05-28",4.30379391432695,2.73805517085394,5.86953265779997,1.9092031472344,6.69838468141951
"2021.409","2021-05-30",4.24261054281849,2.67246391761015,5.81275716802682,1.8412785023495,6.64394258328748
"2021.413","2021-05-31",4.27237713789352,2.69783296475577,5.84692131103128,1.86431962824039,6.68043464754665
"2021.417","2021-06-02",4.29302960503691,2.71409813051819,5.87196107955563,1.8782622969432,6.70779691313061
"2021.422","2021-06-04",4.26969926289614,2.68639064745427,5.85300787833801,1.84823769544114,6.69116083035114
"2021.426","2021-06-05",4.32104859048505,2.73337290963236,5.90872427133774,1.89290817283513,6.74918900813497
"2021.430","2021-06-06",4.29434974575352,2.70231699118086,5.88638250032618,1.85954575888116,6.72915373262588
"2021.435","2021-06-08",4.22755640685078,2.63117648753087,5.82393632617068,1.78610400522201,6.66900880847955
"2021.439","2021-06-10",4.23861199840089,2.63789474167154,5.83932925513023,1.79052621163191,6.68669778516986
"2021.443","2021-06-11",4.21916300392732,2.61411815655497,5.82420785129968,1.76445873841104,6.67386726944361
"2021.448","2021-06-13",4.21068582117265,2.6013230503966,5.82004859194871,1.74937786167573,6.67199378066957
"2021.452","2021-06-14",4.13942994807437,2.5257588426323,5.75310105351643,1.67153295930563,6.6073269368431
"2021.457","2021-06-16",4.14363688245126,2.52566695358643,5.7616068113161,1.66916541060197,6.61810835430056
"2021.461","2021-06-18",4.1372700298073,2.51501071225765,5.75952934735695,1.656238504064,6.61830155555061
"2021.465","2021-06-19",4.10033229035422,2.47379294332414,5.7268716373843,1.61275502438481,6.58790955632363
"2021.470","2021-06-21",4.11256420453362,2.48175411264845,5.74337429641879,1.61845539794721,6.60667301112003
"2021.474","2021-06-23",4.10218759589962,2.46711597014347,5.73725922165577,1.60156133568077,6.60281385611847
"2021.478","2021-06-24",4.09856937708202,2.45924535571919,5.73789339844485,1.59143963899993,6.6056991151641
"2021.483","2021-06-26",4.08238431596236,2.43881696544277,5.72595166648196,1.56876496595564,6.59600366596909
"2021.487","2021-06-27",4.05778143188107,2.40997974773003,5.7055831160321,1.53768622741848,6.57787663634365
"2021.491","2021-06-29",4.03737028603949,2.38534319373219,5.68939737834678,1.51081287745736,6.56392769462161
"2021.496","2021-07-01",3.98806979059735,2.33182614641834,5.64431343477636,1.45506372241409,6.52107585878061
"2021.500","2021-07-02",4.01612846048447,2.35567705237252,5.67657986859642,1.47668717269262,6.55556974827631
"2021.504","2021-07-03",4.06856706242454,2.40391661080319,5.73321751404588,1.52270389176101,6.61443023308806
"2021.509","2021-07-05",4.03913585491021,2.3702950135043,5.70797669631612,1.48686403610506,6.59140767371536
"2021.513","2021-07-07",4.1133809447718,2.44035830141027,5.78640358813333,1.554713611776,6.6720482777676
"2021.517","2021-07-08",4.11467464430515,2.43747872171045,5.79187056689986,1.54962483149788,6.67972445711243
"2021.522","2021-07-10",4.13708889395823,2.45572815052257,5.81844963739388,1.56566953733407,6.70850825058238
"2021.526","2021-07-11",4.06087710679458,2.37535993734339,5.74639427624577,1.4831010451311,6.63865316845806
"2021.530","2021-07-13",4.0746207109476,2.38495544749033,5.76428597440488,1.49050068695362,6.65874073494159
"2021.535","2021-07-15",4.01796454103618,2.32415945350482,5.71176962856753,1.42751320248125,6.6084158795911
"2021.539","2021-07-16",3.98845066065552,2.29051395763111,5.68638736367993,1.39168056148099,6.58522075983005
"2021.543","2021-07-18",4.0263342959046,2.32427412533185,5.72839446647735,1.42325789731657,6.62941069449263
"2021.548","2021-07-20",4.06690335747702,2.36072780736745,5.7730789075866,1.45753302902167,6.67627368593238
"2021.552","2021-07-21",4.04110141738843,2.3308185165121,5.75138431826475,1.42544943800998,6.65675339676688
"2021.557","2021-07-23",4.02680746167954,2.31242518024582,5.74118974311327,1.40488602076132,6.64872890259777
"2021.561","2021-07-24",4.06320706237846,2.34473331270579,5.78168081205113,1.43502826076729,6.69138586398963
"2021.565","2021-07-26",4.13918219189033,2.41662482906547,5.8617395547152,1.50475804290471,6.77360634087596
"2021.570","2021-07-28",4.07166687598645,2.3450336985132,5.79830005345969,1.43100930640873,6.71232444556416
"2021.574","2021-07-29",4.12595939671627,2.39525814715408,5.85666064627847,1.47908024776929,6.77283854566326
"2021.578","2021-07-30",4.11706905542082,2.38230742101329,5.85183068982835,1.46398008372913,6.77015802711251
"2021.583","2021-08-01",4.17176459597712,2.43295020927077,5.91057898268346,1.51247747451331,6.83105171744092
"2021.587","2021-08-03",4.19789951971697,2.45503995917039,5.94075908026355,1.53242583873326,6.86337320070068
"2021.591","2021-08-04",4.21012209752713,2.46322488811063,5.95701930694363,1.5384733654725,6.88177082958176
"2021.596","2021-08-06",4.18519584834778,2.43426846213392,5.93612323456164,1.50738349277106,6.86300820392449
"2021.600","2021-08-07",4.19998145960157,2.44503131634656,5.95493160285658,1.51601682804065,6.88394609116248
